Country,Regulator,Issuance,Year,Information asset classification,Data ownership and accountability rules,Data security and confidentiality standards,Consent management standards,Data retention and archiving requirements,Data sharing and interoperability standards,Cross-border data transfer conditions,Data quality and integrity standards,Encryption/cryptography prescriptions,Incident/breach notification timelines,Third-party/outsourcing governance,Data localization rules,"Data Standards (e.g., ISO 20022)",Source_Original,Source_EN,Amendment_Of
Thailand,The Minister of Finance,Payment Systems Act B.E.2560,2017.0,No explicit provision,No explicit provision,- The BOT shall have the power to issue notifications prescribing rules of the provisions of designated payment systems and designated payment services in the storage and disclosure of personal data of service users,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/documents/en/laws-and-rules/laws-and-regulations/legal-department/4-payment-act/4.1%20LAW04_PaymentSystemAct.pdf,https://www.bot.or.th/content/dam/bot/documents/en/laws-and-rules/laws-and-regulations/legal-department/4-payment-act/4.1%20LAW04_PaymentSystemAct.pdf,
Thailand,Bank of Thailand (BOT) ,BOT Notification No. SorNorChor. 1 /2561 Re: Regulations on Supervision for System Operator of the Highly Important Payment Systems,2018.0,No explicit provision,No explicit provision,"- The business providers must safely protect data privacy of system user.

- Establish policy to protect data privacy of the users, determination of the level of confidentiality for data access, and identification of persons who have access rights to such data; and arrange the systems for data storage that is accurate and reliable; and prevent an unauthorized person who has no relevant authority from accessing to or modifying the data maintained.
",No explicit provision,No explicit provision,Protect users’ confidentiality and data privacy by not disclosing such information during the course of services and after ceasing to provide services,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"- have in-place an appropriate risk management process of third parties or outsourcing. In this regard, risk assessment should cover risks relating to protection of confidentiality and data privacy.
- Business providers must govern third‑party and outsourcing  to protect data confidentiality and privacy.",No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610084.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610084.pdf,
Thailand,Bank of Thailand (BOT) ,BOT notification No. SorNorChor. 4/2561 Re:Regulations on  Supervision of  the Designated Payment Systems Business,2018.0,No explicit provision,No explicit provision,"- The business providers must safely protect data privacy of system user.

- Establish policy to protect data privacy of the users, determination of the level of confidentiality for data access, and identification of persons who have access rights to such data; and arrange the systems for data storage that is accurate and reliable; and prevent an unauthorized person who has no relevant authority from accessing to or modifying the data maintained.
",No explicit provision,No explicit provision,Protect users’ confidentiality and data privacy by not disclosing such information during the course of services and after ceasing to provide services,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"- have in-place an appropriate risk management process of third parties or outsourcing. In this regard, risk assessment should cover risks relating to protection of confidentiality and data privacy.
- Business providers must govern third‑party and outsourcing  to protect data confidentiality and privacy.",No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610087.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610087.pdf,
Thailand,Bank of Thailand (BOT) ,BOT Notification No. SorNorChor. 6/2561 Re: Regulations on General Supervision of Undertaking Designated Payment Service Business,2018.0,No explicit provision,No explicit provision,"- The business providers must safely protect data privacy of system user.

- Establish policy to protect data privacy of the users, determination of the level of confidentiality for data access, and identification of persons who have access rights to such data; and arrange the systems for data storage that is accurate and reliable; and prevent an unauthorized person who has no relevant authority from accessing to or modifying the data maintained.
",No explicit provision,No explicit provision,Protect users’ confidentiality and data privacy by not disclosing such information during the course of services and after ceasing to provide services,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"- have in-place an appropriate risk management process of third parties or outsourcing. In this regard, risk assessment should cover risks relating to protection of confidentiality and data privacy.
- Business providers must govern third‑party and outsourcing  to protect data confidentiality and privacy.",No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610082.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610082.pdf,
Thailand,Bank of Thailand (BOT) ,BOT Notification No. SorNorChor. 2 /2561 Re: Regulations on Supervision for Members of the Highly Important Payment Systems,2018.0,No explicit provision,No explicit provision,- Have in place the data security and protectionof confidentiality relating to the process and information of the systems,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610085.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610085.pdf,
Thailand,Bank of Thailand (BOT) ,Regulations on Market Conduct,2018.0,"There must be the protection of data security, as the data must be classified, kept and disposed, based on its security classification",The assignment of duties and responsibilities of each level of staff promotes the protection of customer data and is in accordance with the “3 lines of defense” concept,"customer data must be safeguarded, as service providers place importance on customer privacy and data security, while the transmission of customer information to other entities must not invade customer privacy
-There must be systems, tools and processes to ensure that the sale of products and services does not invade customer privacy, while customer information is acquired legally, in accordance with the internal policy of the service provider, especially face-to-face sales and tele-sales. ","-FIs seek customers’ consent to the disclosure of data by giving them
the rights to accept/decline, by using an approach that will ensure that the customers decide to give consent themselves and the customers must understand that this is not the condition for approving the products and services they have applied for   ",No explicit provision,No explicit provision,No explicit provision,No explicit provision,there must be the deployment of reliable and internationally accepted data encryption.,No explicit provision,"There must be the effective supervision and management of data access, data usage and data protection arrangements of third-party service providers or business counterparts.",No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610034.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610034.pdf,
Thailand,Bank of Thailand (BOT) ,"BOT Notification No. SorNorChor. 1/2564
Re: Regulations on Information Technology Risk under Payment System Act",2021.0,"There must be the protection of data security, as the data must be classified, kept and disposed, based on its security classification",The assignment of duties and responsibilities of each level of staff promotes the protection of customer data and is in accordance with the “3 lines of defense” concept,"customer data must be safeguarded, as service providers place importance on customer privacy and data security, while the transmission of customer information to other entities must not invade customer privacy
-There must be systems, tools and processes to ensure that the sale of products and services does not invade customer privacy, while customer information is acquired legally, in accordance with the internal policy of the service provider, especially face-to-face sales and tele-sales. ","-FIs seek customers’ consent to the disclosure of data by giving them
the rights to accept/decline, by using an approach that will ensure that the customers decide to give consent themselves and the customers must understand that this is not the condition for approving the products and services they have applied for   ",No explicit provision,No explicit provision,No explicit provision,No explicit provision,there must be the deployment of reliable and internationally accepted data encryption.,No explicit provision,"There must be the effective supervision and management of data access, data usage and data protection arrangements of third-party service providers or business counterparts.",No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FOG/2564/ThaiPDF/25640024.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FOG/2564/ThaiPDF/25640024.pdf,
Timor-Leste,Banco Central de Timor Leste,BCTL Instruction No. 05/2017,2017.0,No explicit provision,Compliance Officers shall have direct access to Senior Management and shall have full access to all customers’ information and data in order to ensure compliance with the provisions established in this Instruction and the applicable laws and regulations.,No explicit provision,No explicit provision,"Banks, System Participants, System Operators and Payment Service Providers shall  retain all records obtained by them during the course of their operation and  administration for a minimum period of five years from the date of the establishment  of a record, or such other period as the Central Bank may require.",No explicit provision,No explicit provision,"Banks shall take reasonable and appropriate measures to ensure that the records of existing customers, including customer profiles, remain up to date and relevant throughout the business relationship",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://www.bancocentral.tl/uploads/documentos/documento_1519113147_6225.pdf,https://www.bancocentral.tl/uploads/documentos/documento_1519113147_6225.pdf,
Viet Nam,National Assembly → Government of Viet Nam (central state management authority),Law on Data (No. 60/2024/QH15),2024.0,"Data Classification:
State agencies shall classify data based on requirements for data administration, processing, and protection, including:
a) Classification by the data sharing nature, including common data, private data, and open data;
b) Classification by data importance nature, including core data, important data, and other data;
c) Classification by other criteria, meeting the requirements for data administration, processing, and protection decided by data governing bodies

Further, it distinguishes data through:
Common data: data generally accessed, shared, utilized, and used in agencies of the CPV, the State, the Committee of the Vietnamese Fatherland Front, and socio-political Organizations.
Private data : data accessed, shared, utilized, and used within the internal scope of agencies of the CPV, the State, the Committee of the Vietnamese Fatherland Front, and socio-political organizations.
Important data: data that may affect national defense and security, foreign affairs, macroeconomic situations, social stabilization, and community health and safety, included in the list promulgated by the Prime Minister of Vietnam.
Core data: important data that directly impact national defense and security, foreign affairs, macroeconomic situations, social stabilization, and community health and safety, included in the list promulgated by the Prime Minister of Vietnam.","
'-Data owners refer to agencies, organizations, and individuals with the right to decide on the construction, development, protection, administration, processing, use, and exchange of the value of data under their ownership..
- Data governing bodies shall assess and determine risks and adopt measures to protect data; promptly remedy arising risks and issue notices to data subject matters and relevant agencies, organizations, and individuals.","
'-State agencies shall determine and establish mechanisms for early warnings of risks arising during data processing and develop measures to protect data
-Data governing bodies not prescribed in Clause 2 of this Article shall assess and determine risks and adopt measures to protect data; promptly remedy arising risks and issue notices to data subject matters and relevant agencies, organizations, and individuals.
- Data administration includes the development of policies, plans, programs, processes, and standards concerning data of data owners and data governing bodies in a continuous and effective manner, ensuring the adequacy, accuracy, integrity, consistency, standardization, safety, confidentiality, and timeliness of data.
- Responsibilities of organizations providing products and services concerning data intermediation, data analysis and summary, and data platforms include Manage, inspect, and supervise data safety and confidentiality regularly; prevent, control, and handle data risks; supervise acts that may affect data protection.","- Private data and data concerning national defense and security, foreign affairs, and cipher shall be stored on the National Data Center's infrastructures upon data owners' consent.","- Organizations and individuals that are data owners may decide on the storage of data collected, generated, and owned by them; in case of storing core and important data,
- National databases shall be permitted to store data on the infrastructures of the National Data Center.","- Data owners and data governing bodies shall conduct data connection and sharing for data users according to the law or under agreements, either in person or through intermediaries
-The Prime Minister of Vietnam shall decide on the sharing of private data under the management of ministries, ministerial agencies, governmental agencies, and provincial People’s Committees in unexpected and urgent cases of preparation and management of natural disasters, epidemics, fire, and explosions or other necessary cases to settle arising issues in reality.
- The disclosure of data shall reflect the correct data from the master data sources, ensuring convenience for organizations and individuals in utilizing, using, and sharing.
- Whether data is subject to disclosure, conditional disclosure, or is not subject to disclosure shall be based on the information reflected by data under the law on information access.
- State agencies shall disclose the list of open data and organize the disclosure of open data according to this Article for utilization, use, and sharing by organizations and individuals. The time of data disclosure for each field shall comply with the law.


'-Other national databases, specialized databases, and information systems of agencies of the CPV, the State, the Vietnamese Fatherland Front, and socio-political organizations shall be connected with the National General Database through data coordination and sharing platforms; national data sharing and integration platforms; provincial and ministerial data sharing and integration platforms, Internet, computer networks, and information systems.
- The data connection and sharing between the National General Database and other databases shall ensure efficiency, safety, and conformity with the functions, tasks, and entitlements of agencies, organizations, and individuals according to the law
- The infrastructures of the National Data Center shall be designed, constructed, and used in compliance with the following requirements: Assurance of the main information technology components of the National Data center, including the National General Database; data coordination and sharing platform""","1. Agencies, organizations, and individuals may freely transfer data from overseas to Vietnam, process foreign data in Vietnam, and receive the State’s protection for their legitimate rights and benefits according to the law.
2. Cross-border transfer and processing of core and important data include:
a) Transfer of data stored in Vietnam to data storage systems placed outside of the territory of the Socialist Republic of Vietnam;
b) Vietnamese agencies, organizations, and individuals transferring data to foreign organizations and individuals;
c) Vietnamese agencies, organizations, and individuals using platforms outside of the territory of the Socialist Republic of Vietnam for data processing.
3. The transfer and processing of data prescribed shall ensure national defense and security and protection of national benefits, public benefits, and legitimate rights and benefits of data subject matters and data owners according to the law of Vietnam and international treaties to which the Socialist Republic of Vietnam is a signatory.","1. Data quality assurance means assurance of the accuracy, validity, integrity, adequacy, timely update, and consistency of data.
2. State agencies managing databases shall:
a) Synchronously instruct, implement, and apply the national technical regulations and standards concerning data quality assurance and data quality assurance processes for application to databases under their management;
b) Regularly inspect, supervise, and remedy mistakes; synchronize data within their premises and cooperate with relevant agencies and organizations on regular updates, adjustments, and assurance of data quality in the utilization and use.","1. Data included in the list of state secrets shall be encrypted using cipher codes during storage, transmission, receipt, and sharing on computer networks.
2. Agencies, organizations, and individuals shall use one or more encryption solutions and encryption and decryption processes in conformity with their data administration and management.
3. Data owners and data governing bodies shall decide on the encryption and decryption of data.
4. Competent state agencies may apply measures to decrypt data without the consent of data owners and data governing bodies in the following cases:
a) Emergencies;
b) Upon threats to national security but not to the extent of declaring emergencies;
c) Catastrophes;
d) Prevention and combat against riots and terrorism.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://thuviennhadat.vn/van-ban-phap-luat-viet-nam/law-60-2024-qh15-data-639658.html,https://thuviennhadat.vn/van-ban-phap-luat-viet-nam/law-60-2024-qh15-data-639658.html,
Viet Nam,Ministry of Public Security (MPS),"Personal Data Protection Law (PDPL) (Law No. 91/2025/QH15, with IRR (Decree 356/2025/ND‑CP )",2026.0,"Classification for personal data:
-Basic personal data: personal data that reflects common and identifiable personal elements, frequently used in transactions and social relations,as prescribed in the list issued by the Government.
-Sensitive personal data: personal data associated with the privacy of an individual that, once infringed upon, will directly affect lawful rights and interests of agencies, organizations or individual, as prescribed in the list issued by the Government","- Personal Data Controller — decides purposes/means of processing
* The personal data controller or the personal data controlling and processing party shall modify personal data upon the request of the data subject or as required by law; and shall request the personal data processor or third party to modify the data subject’s personal data.
-Personal Data Processor — processes data under controller’s instruction
Personal Data Controlling and Processing Party — decides purposes and processes directly
Third Party — involved in personal data processing","-The deletion or destruction of personal data must be carried out using secure measures to prevent unauthorized access and restoration of the deleted or destroyed personal data.
-During the sensitive personal data processing, the agencies and organizations must establish regulations on access delegation limits, processing procedures, and confidentiality measures.","-Data subjects' rights include consent or refuse to consent or request withdraw of consent to personal data processing
-Consent takes effect only when it is given voluntarily and based on full awareness of the following information:
a) Type of personal data to be processed, purpose of personal data processing;
b) The personal data controller or personal data controlling and processing party;
c) Rights and obligations of data subjects.
-The consent of a data subject must be expressed in a clear and specific manner, in a format that can be printed or copied in written form, including also in electronic form or verifiable format.
-the consent of the data subject must comply with the following principles:
a) Consent must be given for each specific purpose;
b) Consent must not be subject to a condition requiring agreement to other purposes beyond the agreed content;
c) Consent remains valid until the data subject changes it or as otherwise prescribed by law;
d) Silence or non-response is not regarded as a consent.
-A data subject is entitled to request the withdrawal of consent for personal data processing or request the restriction of processing of his/her personal data upon suspicion concerning the scope or purpose of personal data processing, or the accuracy of personal data",- Data subjects have the right to request deletion of their personal data.,"-A method must be established to enable the data subject to refuse data sharing; specify data retention periods; and delete or destroy data when no longer
necessary
- Personal data may only be disclosed for a specific purpose. The scope of disclosure and types of personal data to be disclosed must be consistent with
the intended purpose. The disclosure of personal data must not infringe upon the lawful rights and interests of the data subject.
-Personal data may only be disclosed in the following cases:
*With the consent of the data subject;
* In accordance with the law;
* For the performance of contractual obligations.","""1. Cases of cross-border transfer of personal data include:
a) Transfer of personal data stored in Vietnam to a data storage system located outside the territory of the Socialist Republic of Vietnam
b) Agencies, organizations, or individuals in Vietnam transferring personal data to organizations or individuals abroad
c) Vietnam-based or overseas agencies, organizations, or individuals using a platform located outside the territory of the Socialist Republic of Vietnam to
process personal data collected in Vietnam Agencies, organizations, or individuals conducting cross-border
personal data transfer activities must prepare a dossier on the impact assessment of the cross-border transfer of personal data and submit one original copy to the agency in charge of personal data protection within 60 days from the first day of cross-border personal data transfer
-The impact assessment of the cross-border transfer of personal data shall be conducted once for the entire duration of operation of such agency, organization, or individual, and shall be updated
-The agency in charge of personal data protection shall decide to carry out periodic inspections of cross-border personal data transfers not more than once per year, or extraordinary inspections upon detection of violations of the law on personal data protection or when incidents of personal data leakage or loss occur
-The agency in charge of personal data protection shall decide to request the suspension of cross-border personal data transfer by any agency, organization,  or individual upon discovering that the transferred personal data is being used for activities that may harm national defense or national security.","Upon receipt of a request to access, correct, or request correction of personal data, or to provide personal data in accordance with proper procedures from a personal data subject, the personal data controller and the personal data controlling and processing party shall respond within 02 working days, provide full information to the personal data subject regarding the procedures, and implement the request within 10 days. In case it is necessary to require a personal data processor or a third party to correct the personal data of a personal data subject, such correction shall be carried out within 15 days.","-Personal data in big data processing: Implement encryption and anonymization of personal data (the processof separating data that identifies a specific individual for separate storage and security, whereby personal data after such processing is used for processing purposes without being able to identify a specific individual) during the transfer or provision of personal data, except where specialized laws provide otherwise or where processing requires data in clear form for the purposes of crime prevention and control, anti-money laundering, ensuring national security, or handling customer complaints and disputes. In such cases, the agencies and organizations must apply additional security solutions to ensure that personal data is not accessed or used unlawfully

-Personal data protection in blockchain technology: Apply only secure encryption algorithms, hashing algorithms, and digital signature algorithms
-Personal data protection in cloud computing: Personal data stored in cloud computing environments must be encrypted both at rest and during transmission, accompanied by strict access delegation mechanisms
-Personal data processing services: Services for encrypting personal data during transmission and storage","""Notification of violations on personal position data and biometric data: In case of occurring an incident involving a violation on personal data related to position data or biometric data, the personal data controller or the personal data controlling and processing party shall have the following responsibilities:

a) Notify the affected data subjects within 72 hours from the time the violation is detected;
b) Report to the competent state agency
c) Record, store, and update the violation dossier for inspection, examination, and handling purposes. The organization shall retain the violation dossier for at least 5 years from the date the incident has been fully remedied.

2. The notification to the data subjects shall include at least the following contents:
a) Time and method of detecting the violation;
b) Type of data affected (position data, biometric data, or both);
c) Level of severity and the potential risks to the lawful rights and interests of the data subjects;
d) Measures that have been, are being, and will be implemented to remedy the incident and mitigate damages;
dd) Guidance for data subjects on subsequent preventive and remedial measures
e) Contact information of the personal data protection department, personal data protection personnel, or the organization or individual providing personal data protection services; and the department in charge of receiving and handling personal data incidents within the organization

In case an organization or individual is unable to notify all affected personal data subjects within the time limit  due to technical or emergency reasons, the following measures shall be implemented:
a) Public notification via the organization’s official electronic means, including its website or application;
b) Sending notifications to the relevant personal data subjects as soon as technical conditions permit","- On personal data transfer: The roles of the personal data controller, personal data processor, and
third parties in personal data transfer activities must be clearly identified;

-In case of big data processing containing personal data, the relevant agencies, organizations, and individuals have the responsibility to enter into agreements with third parties, partners, and service providers to ensure full compliance with regulations on personal data protection
- The organizations and individuals entering into contracts related to the processing of personal data with cloud computing service providers have the responsibility to
a) Clearly stipulating in the contract compliance with Vietnamese law on
personal data protection; providing information on the department and personnel
in charge of personal data protection; and complying with administrative
procedures related to personal data protection in accordance with the law;
b) Clearly defining personal data processing flows, the roles of the parties
involved in the provision of cloud computing services, and their corresponding
responsibilities;
c) Requiring specific security, technical, and organizational measures,
which must be clearly stated in the contract;
d) Promptly notifying relevant parties of any changes that may affect
personal data;
dd) Complying with time limits for personal data processing and
requirements for deletion and destruction of personal data;
e) Ensuring the exercise of the rights of personal data subjects;
g) Fully implementing technical measures to ensure that access to personal
data is appropriately decentralized.
3. Cloud computing service providers shall:
a) Comply with Vietnamese regulations on personal data protection;
provide information on the department and personnel in charge of personal data
protection; and comply with administrative procedures related to personal data
protection in accordance with the law;
b) Require subcontractors to comply with regulations and obligations on
personal data protection in accordance with the law;
c) Apply technical and organizational measures appropriate to the scale and level of their personal data processing
d) Conduct periodic assessments of compliance with personal data
protection regulations at least once per year",No explict provision,"No explicit provision detailing data standards, however required requirements for transfer agreements must include the following content:
- Must specify purpose,
- Types of data,
- Duration,
- Deletion/destruction requirements,
- Responsibilities of parties","https://vanban.chinhphu.vn/?pageid=27160&docid=214590&classid=1&orggroupid=1
https://static3.luatvietnam.vn/uploaded/vietlawfile/2026/1/356_2025_nd_cp_160126121401.pdf","https://vanban.chinhphu.vn/?pageid=27160&docid=214590&classid=1&orggroupid=1
https://static3.luatvietnam.vn/uploaded/vietlawfile/2026/1/356_2025_nd_cp_160126121401.pdf",
Viet Nam,Ministry of Industry and Trade (MOIT),Law on Protection of Consumer Rights (LPCR) – Law No. 19/2023/QH15,2023.0,No explicit provision,"In case consumers conduct transactions through a third party, the third party shall take responsibility for the protection of consumer information","Businesses, whether by themselves or by authorizing or hiring a third party to collect, store, use, modify, update, or cancel consumer information must ensure the safety and security of consumer information as stipulated by this Law and other relevant laws. In case businesses authorize or hire a third party to collect, store, use, modify, update or cancel consumer information, they must obtain the consumers’ consent
-Businesses must ensure the safety and security of consumer information
that they collect, store, or use, and take measures to prevent the following acts:
a) Unauthorized theft or access to information;
b) Unauthorized use of information;
c) Unauthorized modification, update or deletion of information.",Businesses must obtain consumer consent, No explicit provision, No explicit provision, No explicit provision, No explicit provision, No explicit provision, No explicit provision,"
In case traders authorize or hire a third party to collect, store, use, modify, update or cancel consumer information, they must obtain the consumers’ consent. The authorization or hiring of a third party must be in writing, clearly specifying the scope and responsibilities of each party in the protection of consumer information in accordance with this Law and other relevant laws", No explicit provision, No explicit provision,https://vanban.chinhphu.vn/?pageid=27160&docid=208363&classid=1&typegroupid=3,https://english.luatvietnam.vn/thuong-mai/law-on-protection-of-consumer-rights-no-19-2023-qh15-259732-d1.html,
Viet Nam,State Bank of Viet Nam,Decree No. 52/2024/ND‑CP on Non‑Cash Payments,2024.0,No explicit provision,No explicit provision,"-Providers are prohibited from disclosing or providing information on the balances of payment accounts, bank cards, or e-wallets and payment transactions of clients at payment service providers or payment intermediary service providers unless consented by the clients",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://vanban.chinhphu.vn/?pageid=27160&docid=210262,https://static3.luatvietnam.vn/uploaded/vietlawfile/2024/5/52_2024_nd_cp_270524162102.pdf,
Viet Nam,State Bank of Viet Nam,Circular No. 15/2024/TT‑NHNN – On Provision of Non‑Cash Payment Services,2024.0,No explicit provision,No explicit provision,"The information and data of electronic documents must be fully controlled to ensure the legality, validity, and integrity of the information. At the same time, the documents must be controlled and securely managed to prevent
and avoid illegal exploitation, intrusion, and copy of information",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://congbao.chinhphu.vn/van-ban/thong-tu-so-15-2024-tt-nhnn-42185/50708.htm,https://static3.luatvietnam.vn/uploaded/vietlawfile/2024/7/15_2024_tt_nhnn_170724173412.pdf,
